Demographic,Platform,Weeks,Curve Frequency,Frequency Cap,Key,  A  , B , C , Potential 
P18-44,Linear TV Metro 5 Cap Seven Network,3 Weeks,oneplus,0,P18-44Linear TV Metro 5 Cap Seven Network3 Weeksoneplus0,2604422.304,680.91,-0.55,9700000
P18-44,Linear TV Metro 5 Cap Nine Network,3 Weeks,oneplus,0,P18-44Linear TV Metro 5 Cap Nine Network3 Weeksoneplus0,2721505.374,680.91,-0.55,9700000
P18-44,Linear TV Metro 5 Cap Ten Network,3 Weeks,oneplus,0,P18-44Linear TV Metro 5 Cap Ten Network3 Weeksoneplus0,1801310.148,680.91,-0.55,9700000
P18-44,Linear TV Metro 5 Cap SBS Network,3 Weeks,oneplus,0,P18-44Linear TV Metro 5 Cap SBS Network3 Weeksoneplus0,823465.476,680.91,-0.55,9700000
P18-44,Linear TV Regional 4 Seven Network,3 Weeks,oneplus,0,P18-44Linear TV Regional 4 Seven Network3 Weeksoneplus0,1119368.124,622.55,-0.55,9700000
P18-44,Linear TV Regional 4 Nine Network,3 Weeks,oneplus,0,P18-44Linear TV Regional 4 Nine Network3 Weeksoneplus0,1169689.86,622.55,-0.55,9700000
P18-44,Linear TV Regional 4 Ten Network,3 Weeks,oneplus,0,P18-44Linear TV Regional 4 Ten Network3 Weeksoneplus0,774194.4,622.55,-0.55,9700000
P18-44,Linear TV Regional 4 SBS Network,3 Weeks,oneplus,0,P18-44Linear TV Regional 4 SBS Network3 Weeksoneplus0,353921.481,622.55,-0.55,9700000
P18-44,Foxtel Linear,3 Weeks,oneplus,0,P18-44Foxtel Linear3 Weeksoneplus0,1126154.979,583.64,-0.55,9700000
P18-44,YouTube TrueView,3 Weeks,oneplus,0,P18-44YouTube TrueView3 Weeksoneplus0,6372900,52426.37,-0.85,9700000
P18-44,YouTube Instant Reserve,3 Weeks,oneplus,0,P18-44YouTube Instant Reserve3 Weeksoneplus0,6250680,1625.23,-0.55,9700000
P18-44,YouTube Select,3 Weeks,oneplus,0,P18-44YouTube Select3 Weeksoneplus0,4219357.464,14358.34,-0.75,9700000
P18-44,YouTube OMG Select,3 Weeks,oneplus,0,P18-44YouTube OMG Select3 Weeksoneplus0,2748307.995,156526.57,-0.98,9700000
